step,crank_angle_deg,coupler_x,coupler_y,pivot_a_x,pivot_a_y,pivot_b_x,pivot_b_y
0,0.0,199.8698,81.5685,100.0,0.0,156.5685,56.5685
1,0.5,199.1504,83.3096,99.9962,0.8727,156.0689,57.9327
2,1.0,198.4158,85.0443,99.9848,1.7452,155.5574,59.2924
3,1.5,197.6661,86.7726,99.9657,2.6177,155.0341,60.6476
4,2.0,196.9014,88.4942,99.9391,3.4899,154.499,61.9982
5,2.5,196.1216,90.2091,99.9048,4.3619,153.952,63.3441
6,3.0,195.3269,91.9171,99.863,5.2336,153.3934,64.6852
7,3.5,194.5174,93.6182,99.8135,6.1049,152.8231,66.0213
8,4.0,193.693,95.3121,99.7564,6.9756,152.2411,67.3524
9,4.5,192.8539,96.9987,99.6917,7.8459,151.6476,68.6784
10,5.0,192.0001,98.678,99.6195,8.7156,151.0425,69.9991
11,5.5,191.1317,100.3497,99.5396,9.5846,150.4259,71.3145
12,6.0,190.2487,102.0138,99.4522,10.4528,149.7978,72.6245
13,6.5,189.3512,103.6701,99.3572,11.3203,149.1584,73.929
14,7.0,188.4393,105.3185,99.2546,12.1869,148.5075,75.2278
15,7.5,187.5131,106.959,99.1445,13.0526,147.8454,76.5209
16,8.0,186.5725,108.5912,99.0268,13.9173,147.172,77.8082
17,8.5,185.6178,110.2152,98.9016,14.7809,146.4874,79.0895
18,9.0,184.649,111.8308,98.7688,15.6434,145.7917,80.3648
19,9.5,183.666,113.4379,98.6286,16.5048,145.0848,81.634
20,10.0,182.6691,115.0364,98.4808,17.3648,144.3669,82.897
21,10.5,181.6583,116.6261,98.3255,18.2236,143.638,84.1536
22,11.0,180.6336,118.2069,98.1627,19.0809,142.8982,85.4039
23,11.5,179.5952,119.7787,97.9925,19.9368,142.1474,86.6477
24,12.0,178.5431,121.3413,97.8148,20.7912,141.3859,87.8848
25,12.5,177.4774,122.8948,97.6296,21.644,140.6136,89.1153
26,13.0,176.3982,124.4389,97.437,22.4951,139.8305,90.339
27,13.5,175.3056,125.9735,97.237,23.3445,139.0369,91.5557
28,14.0,174.1996,127.4985,97.0296,24.1922,138.2326,92.7656
29,14.5,173.0804,129.0138,96.8148,25.038,137.4178,93.9683
30,15.0,171.9479,130.5193,96.5926,25.8819,136.5926,95.1639
31,15.5,170.8024,132.0148,96.363,26.7238,135.7569,96.3523
32,16.0,169.6439,133.5003,96.1262,27.5637,134.9109,97.5333
33,16.5,168.4724,134.9756,95.882,28.4015,134.0547,98.7069
34,17.0,167.2881,136.4407,95.6305,29.2372,133.1882,99.873
35,17.5,166.0911,137.8953,95.3717,30.0706,132.3116,101.0314
36,18.0,164.8814,139.3395,95.1057,30.9017,131.4249,102.1822
37,18.5,163.6592,140.773,94.8324,31.7305,130.5282,103.3252
38,19.0,162.4245,142.1958,94.5519,32.5568,129.6215,104.4603
39,19.5,161.1774,143.6078,94.2641,33.3807,128.705,105.5875
40,20.0,159.9181,145.0089,93.9693,34.202,127.7787,106.7066
41,20.5,158.6466,146.3989,93.6672,35.0207,126.8427,107.8176
42,21.0,157.363,147.7777,93.358,35.8368,125.897,108.9204
43,21.5,156.0674,149.1453,93.0418,36.6501,124.9417,110.0149
44,22.0,154.7599,150.5016,92.7184,37.4607,123.9769,111.101
45,22.5,153.4407,151.8464,92.388,38.2683,123.0026,112.1787
46,23.0,152.1098,153.1796,92.0505,39.0731,122.019,113.2478
47,23.5,150.7672,154.5012,91.706,39.8749,121.0261,114.3083
48,24.0,149.4132,155.8109,91.3545,40.6737,120.024,115.3601
49,24.5,148.0479,157.1089,90.9961,41.4693,119.0127,116.4031
50,25.0,146.6712,158.3948,90.6308,42.2618,117.9924,117.4372
51,25.5,145.2834,159.6687,90.2585,43.0511,116.9631,118.4624
52,26.0,143.8845,160.9305,89.8794,43.8371,115.9249,119.4786
53,26.5,142.4747,162.18,89.4934,44.6198,114.8778,120.4857
54,27.0,141.054,163.4171,89.1007,45.399,113.822,121.4836
55,27.5,139.6225,164.6418,88.7011,46.1749,112.7575,122.4722
56,28.0,138.1805,165.8539,88.2948,46.9472,111.6845,123.4515
57,28.5,136.7279,167.0535,87.8817,47.7159,110.6029,124.4215
58,29.0,135.2649,168.2403,87.462,48.481,109.513,125.3819
59,29.5,133.7916,169.4143,87.0356,49.2424,108.4146,126.3328
60,30.0,132.3081,170.5753,86.6025,50.0,107.3081,127.2741
61,30.5,130.8145,171.7234,86.1629,50.7538,106.1933,128.2056
62,31.0,129.311,172.8585,85.7167,51.5038,105.0705,129.1275
63,31.5,127.7976,173.9803,85.264,52.2499,103.9396,130.0395
64,32.0,126.2745,175.0889,84.8048,52.9919,102.8009,130.9415
65,32.5,124.7417,176.1842,84.3391,53.73,101.6543,131.8336
66,33.0,123.1995,177.266,83.8671,54.4639,100.5,132.7157
67,33.5,121.6479,178.3344,83.3886,55.1937,99.338,133.5877
68,34.0,120.087,179.3892,82.9038,55.9193,98.1685,134.4495
69,34.5,118.517,180.4303,82.4126,56.6406,96.9915,135.301
70,35.0,116.938,181.4577,81.9152,57.3576,95.8071,136.1423
71,35.5,115.35,182.4712,81.4116,58.0703,94.6154,136.9731
72,36.0,113.7533,183.4709,80.9017,58.7785,93.4165,137.7936
73,36.5,112.1479,184.4566,80.3857,59.4823,92.2104,138.6035
74,37.0,110.534,185.4282,79.8636,60.1815,90.9974,139.4029
75,37.5,108.9116,186.3857,79.3353,60.8761,89.7774,140.1917
76,38.0,107.281,187.329,78.8011,61.5661,88.5506,140.9698
77,38.5,105.6421,188.2581,78.2608,62.2515,87.3171,141.7372
78,39.0,103.9953,189.1728,77.7146,62.932,86.0769,142.4938
79,39.5,102.3405,190.0731,77.1625,63.6078,84.8301,143.2395
80,40.0,100.6779,190.959,76.6044,64.2788,83.5769,143.9743
81,40.5,99.0077,191.8303,76.0406,64.9448,82.3173,144.6982
82,41.0,97.3299,192.687,75.471,65.6059,81.0515,145.411
83,41.5,95.6447,193.529,74.8956,66.262,79.7795,146.1128
84,42.0,93.9522,194.3562,74.3145,66.9131,78.5014,146.8034
85,42.5,92.2526,195.1687,73.7277,67.559,77.2173,147.4829
86,43.0,90.5459,195.9663,73.1354,68.1998,75.9273,148.1511
87,43.5,88.8324,196.749,72.5374,68.8355,74.6316,148.808
88,44.0,87.112,197.5167,71.934,69.4658,73.3302,149.4537
89,44.5,85.3851,198.2694,71.325,70.0909,72.0232,150.0879
90,45.0,83.6516,199.007,70.7107,70.7107,70.7107,150.7107
91,45.5,81.9118,199.7294,70.0909,71.325,69.3928,151.322
92,46.0,80.1657,200.4366,69.4658,71.934,68.0696,151.9218
93,46.5,78.4136,201.1285,68.8355,72.5374,66.7413,152.51
94,47.0,76.6554,201.8051,68.1998,73.1354,65.4079,153.0866
95,47.5,74.8915,202.4664,67.559,73.7277,64.0695,153.6516
96,48.0,73.1218,203.1122,66.9131,74.3145,62.7262,154.2048
97,48.5,71.3465,203.7426,66.262,74.8956,61.3781,154.7464
98,49.0,69.5658,204.3574,65.6059,75.471,60.0254,155.2761
99,49.5,67.7799,204.9567,64.9448,76.0406,58.6681,155.794
100,50.0,65.9887,205.5404,64.2788,76.6044,57.3063,156.3
101,50.5,64.1925,206.1084,63.6078,77.1625,55.9402,156.7942
102,51.0,62.3915,206.6608,62.932,77.7146,54.5698,157.2763
103,51.5,60.5857,207.1974,62.2515,78.2608,53.1952,157.7466
104,52.0,58.7753,207.7182,61.5661,78.8011,51.8166,158.2048
105,52.5,56.9604,208.2232,60.8761,79.3353,50.434,158.6509
106,53.0,55.1411,208.7123,60.1815,79.8636,49.0477,159.085
107,53.5,53.3177,209.1855,59.4823,80.3857,47.6575,159.507
108,54.0,51.4902,209.6429,58.7785,80.9017,46.2638,159.9168
109,54.5,49.6588,210.0842,58.0703,81.4116,44.8665,160.3144
110,55.0,47.8236,210.5096,57.3576,81.9152,43.4658,160.6998
111,55.5,45.9847,210.9189,56.6406,82.4126,42.0618,161.073
112,56.0,44.1424,211.3121,55.9193,82.9038,40.6546,161.4339
113,56.5,42.2967,211.6893,55.1937,83.3886,39.2443,161.7826
114,57.0,40.4478,212.0503,54.4639,83.8671,37.831,162.1189
115,57.5,38.5958,212.3952,53.73,84.3391,36.4148,162.4428
116,58.0,36.7408,212.724,52.9919,84.8048,34.9958,162.7544
117,58.5,34.8831,213.0365,52.2499,85.264,33.5742,163.0536
118,59.0,33.0227,213.3328,51.5038,85.7167,32.1501,163.3404
119,59.5,31.1598,213.6128,50.7538,86.1629,30.7234,163.6147
120,60.0,29.2945,213.8766,50.0,86.6025,29.2945,163.8766
121,60.5,27.427,214.1241,49.2424,87.0356,27.8633,164.126
122,61.0,25.5574,214.3553,48.481,87.462,26.43,164.3629
123,61.5,23.6858,214.5702,47.7159,87.8817,24.9946,164.5873
124,62.0,21.8124,214.7687,46.9472,88.2948,23.5574,164.7991
125,62.5,19.9374,214.9509,46.1749,88.7011,22.1184,164.9984
126,63.0,18.0609,215.1167,45.399,89.1007,20.6777,165.1852
127,63.5,16.183,215.2661,44.6198,89.4934,19.2354,165.3593
128,64.0,14.3038,215.3991,43.8371,89.8794,17.7917,165.5209
129,64.5,12.4236,215.5157,43.0511,90.2585,16.3466,165.6698
130,65.0,10.5424,215.6159,42.2618,90.6308,14.9002,165.8062
131,65.5,8.6604,215.6997,41.4693,90.9961,13.4527,165.9299
132,66.0,6.7778,215.7671,40.6737,91.3545,12.0042,166.041
133,66.5,4.8946,215.818,39.8749,91.706,10.5548,166.1394
134,67.0,3.0111,215.8525,39.0731,92.0505,9.1046,166.2252
135,67.5,1.1274,215.8706,38.2683,92.388,7.6537,166.2983
136,68.0,-0.7565,215.8722,37.4607,92.7184,6.2022,166.3588
137,68.5,-2.6403,215.8574,36.6501,93.0418,4.7502,166.4066
138,69.0,-4.5239,215.8261,35.8368,93.358,3.2979,166.4417
139,69.5,-6.4071,215.7784,35.0207,93.6672,1.8453,166.4641
140,70.0,-8.2899,215.7143,34.202,93.9693,0.3926,166.4739
141,70.5,-10.172,215.6337,33.3807,94.2641,-1.0602,166.471
142,71.0,-12.0533,215.5367,32.5568,94.5519,-2.5129,166.4554
143,71.5,-13.9338,215.4233,31.7305,94.8324,-3.9654,166.4271
144,72.0,-15.8131,215.2936,30.9017,95.1057,-5.4175,166.3862
145,72.5,-17.6913,215.1474,30.0706,95.3717,-6.8693,166.3326
146,73.0,-19.5681,214.9848,29.2372,95.6305,-8.3206,166.2663
147,73.5,-21.4434,214.8058,28.4015,95.882,-9.7712,166.1873
148,74.0,-23.3171,214.6105,27.5637,96.1262,-11.221,166.0957
149,74.5,-25.189,214.3989,26.7238,96.363,-12.67,165.9915
150,75.0,-27.059,214.1709,25.8819,96.5926,-14.1181,165.8746
151,75.5,-28.927,213.9266,25.038,96.8148,-15.5651,165.7451
152,76.0,-30.7927,213.666,24.1922,97.0296,-17.0109,165.603
153,76.5,-32.6561,213.3892,23.3445,97.237,-18.4553,165.4482
154,77.0,-34.517,213.0961,22.4951,97.437,-19.8984,165.2809
155,77.5,-36.3753,212.7868,21.644,97.6296,-21.34,165.1009
156,78.0,-38.2308,212.4612,20.7912,97.8148,-22.78,164.9084
157,78.5,-40.0834,212.1195,19.9368,97.9925,-24.2182,164.7033
158,79.0,-41.9329,211.7617,19.0809,98.1627,-25.6545,164.4857
159,79.5,-43.7793,211.3877,18.2236,98.3255,-27.0889,164.2556
160,80.0,-45.6223,210.9976,17.3648,98.4808,-28.5213,164.0129
161,80.5,-47.4618,210.5914,16.5048,98.6286,-29.9515,163.7578
162,81.0,-49.2978,210.1692,15.6434,98.7688,-31.3794,163.4902
163,81.5,-51.1299,209.731,14.7809,98.9016,-32.8049,163.2101
164,82.0,-52.9582,209.2768,13.9173,99.0268,-34.2279,162.9176
165,82.5,-54.7825,208.8067,13.0526,99.1445,-35.6483,162.6128
166,83.0,-56.6025,208.3207,12.1869,99.2546,-37.066,162.2955
167,83.5,-58.4183,207.8188,11.3203,99.3572,-38.4808,161.9658
168,84.0,-60.2296,207.3011,10.4528,99.4522,-39.8928,161.6239
169,84.5,-62.0363,206.7677,9.5846,99.5396,-41.3017,161.2696
170,85.0,-63.8383,206.2184,8.7156,99.6195,-42.7074,160.903
171,85.5,-65.6355,205.6535,7.8459,99.6917,-44.1099,160.5242
172,86.0,-67.4276,205.0729,6.9756,99.7564,-45.5091,160.1332
173,86.5,-69.2146,204.4767,6.1049,99.8135,-46.9047,159.7299
174,87.0,-70.9964,203.8649,5.2336,99.863,-48.2969,159.3145
175,87.5,-72.7727,203.2376,4.3619,99.9048,-49.6853,158.887
176,88.0,-74.5435,202.5948,3.4899,99.9391,-51.0699,158.4474
177,88.5,-76.3086,201.9365,2.6177,99.9657,-52.4507,157.9957
178,89.0,-78.0679,201.2629,1.7452,99.9848,-53.8274,157.532
179,89.5,-79.8213,200.574,0.8727,99.9962,-55.2001,157.0562
180,90.0,-81.5685,199.8698,0.0,100.0,-56.5685,156.5685
181,90.5,-83.3096,199.1504,-0.8727,99.9962,-57.9327,156.0689
182,91.0,-85.0443,198.4158,-1.7452,99.9848,-59.2924,155.5574
183,91.5,-86.7726,197.6661,-2.6177,99.9657,-60.6476,155.0341
184,92.0,-88.4942,196.9014,-3.4899,99.9391,-61.9982,154.499
185,92.5,-90.2091,196.1216,-4.3619,99.9048,-63.3441,153.952
186,93.0,-91.9171,195.3269,-5.2336,99.863,-64.6852,153.3934
187,93.5,-93.6182,194.5174,-6.1049,99.8135,-66.0213,152.8231
188,94.0,-95.3121,193.693,-6.9756,99.7564,-67.3524,152.2411
189,94.5,-96.9987,192.8539,-7.8459,99.6917,-68.6784,151.6476
190,95.0,-98.678,192.0001,-8.7156,99.6195,-69.9991,151.0425
191,95.5,-100.3497,191.1317,-9.5846,99.5396,-71.3145,150.4259
192,96.0,-102.0138,190.2487,-10.4528,99.4522,-72.6245,149.7978
193,96.5,-103.6701,189.3512,-11.3203,99.3572,-73.929,149.1584
194,97.0,-105.3185,188.4393,-12.1869,99.2546,-75.2278,148.5075
195,97.5,-106.959,187.5131,-13.0526,99.1445,-76.5209,147.8454
196,98.0,-108.5912,186.5725,-13.9173,99.0268,-77.8082,147.172
197,98.5,-110.2152,185.6178,-14.7809,98.9016,-79.0895,146.4874
198,99.0,-111.8308,184.649,-15.6434,98.7688,-80.3648,145.7917
199,99.5,-113.4379,183.666,-16.5048,98.6286,-81.634,145.0848
200,100.0,-115.0364,182.6691,-17.3648,98.4808,-82.897,144.3669
201,100.5,-116.6261,181.6583,-18.2236,98.3255,-84.1536,143.638
202,101.0,-118.2069,180.6336,-19.0809,98.1627,-85.4039,142.8982
203,101.5,-119.7787,179.5952,-19.9368,97.9925,-86.6477,142.1474
204,102.0,-121.3413,178.5431,-20.7912,97.8148,-87.8848,141.3859
205,102.5,-122.8948,177.4774,-21.644,97.6296,-89.1153,140.6136
206,103.0,-124.4389,176.3982,-22.4951,97.437,-90.339,139.8305
207,103.5,-125.9735,175.3056,-23.3445,97.237,-91.5557,139.0369
208,104.0,-127.4985,174.1996,-24.1922,97.0296,-92.7656,138.2326
209,104.5,-129.0138,173.0804,-25.038,96.8148,-93.9683,137.4178
210,105.0,-130.5193,171.9479,-25.8819,96.5926,-95.1639,136.5926
211,105.5,-132.0148,170.8024,-26.7238,96.363,-96.3523,135.7569
212,106.0,-133.5003,169.6439,-27.5637,96.1262,-97.5333,134.9109
213,106.5,-134.9756,168.4724,-28.4015,95.882,-98.7069,134.0547
214,107.0,-136.4407,167.2881,-29.2372,95.6305,-99.873,133.1882
215,107.5,-137.8953,166.0911,-30.0706,95.3717,-101.0314,132.3116
216,108.0,-139.3395,164.8814,-30.9017,95.1057,-102.1822,131.4249
217,108.5,-140.773,163.6592,-31.7305,94.8324,-103.3252,130.5282
218,109.0,-142.1958,162.4245,-32.5568,94.5519,-104.4603,129.6215
219,109.5,-143.6078,161.1774,-33.3807,94.2641,-105.5875,128.705
220,110.0,-145.0089,159.9181,-34.202,93.9693,-106.7066,127.7787
221,110.5,-146.3989,158.6466,-35.0207,93.6672,-107.8176,126.8427
222,111.0,-147.7777,157.363,-35.8368,93.358,-108.9204,125.897
223,111.5,-149.1453,156.0674,-36.6501,93.0418,-110.0149,124.9417
224,112.0,-150.5016,154.7599,-37.4607,92.7184,-111.101,123.9769
225,112.5,-151.8464,153.4407,-38.2683,92.388,-112.1787,123.0026
226,113.0,-153.1796,152.1098,-39.0731,92.0505,-113.2478,122.019
227,113.5,-154.5012,150.7672,-39.8749,91.706,-114.3083,121.0261
228,114.0,-155.8109,149.4132,-40.6737,91.3545,-115.3601,120.024
229,114.5,-157.1089,148.0479,-41.4693,90.9961,-116.4031,119.0127
230,115.0,-158.3948,146.6712,-42.2618,90.6308,-117.4372,117.9924
231,115.5,-159.6687,145.2834,-43.0511,90.2585,-118.4624,116.9631
232,116.0,-160.9305,143.8845,-43.8371,89.8794,-119.4786,115.9249
233,116.5,-162.18,142.4747,-44.6198,89.4934,-120.4857,114.8778
234,117.0,-163.4171,141.054,-45.399,89.1007,-121.4836,113.822
235,117.5,-164.6418,139.6225,-46.1749,88.7011,-122.4722,112.7575
236,118.0,-165.8539,138.1805,-46.9472,88.2948,-123.4515,111.6845
237,118.5,-167.0535,136.7279,-47.7159,87.8817,-124.4215,110.6029
238,119.0,-168.2403,135.2649,-48.481,87.462,-125.3819,109.513
239,119.5,-169.4143,133.7916,-49.2424,87.0356,-126.3328,108.4146
240,120.0,-170.5753,132.3081,-50.0,86.6025,-127.2741,107.3081
241,120.5,-171.7234,130.8145,-50.7538,86.1629,-128.2056,106.1933
242,121.0,-172.8585,129.311,-51.5038,85.7167,-129.1275,105.0705
243,121.5,-173.9803,127.7976,-52.2499,85.264,-130.0395,103.9396
244,122.0,-175.0889,126.2745,-52.9919,84.8048,-130.9415,102.8009
245,122.5,-176.1842,124.7417,-53.73,84.3391,-131.8336,101.6543
246,123.0,-177.266,123.1995,-54.4639,83.8671,-132.7157,100.5
247,123.5,-178.3344,121.6479,-55.1937,83.3886,-133.5877,99.338
248,124.0,-179.3892,120.087,-55.9193,82.9038,-134.4495,98.1685
249,124.5,-180.4303,118.517,-56.6406,82.4126,-135.301,96.9915
250,125.0,-181.4577,116.938,-57.3576,81.9152,-136.1423,95.8071
251,125.5,-182.4712,115.35,-58.0703,81.4116,-136.9731,94.6154
252,126.0,-183.4709,113.7533,-58.7785,80.9017,-137.7936,93.4165
253,126.5,-184.4566,112.1479,-59.4823,80.3857,-138.6035,92.2104
254,127.0,-185.4282,110.534,-60.1815,79.8636,-139.4029,90.9974
255,127.5,-186.3857,108.9116,-60.8761,79.3353,-140.1917,89.7774
256,128.0,-187.329,107.281,-61.5661,78.8011,-140.9698,88.5506
257,128.5,-188.2581,105.6421,-62.2515,78.2608,-141.7372,87.3171
258,129.0,-189.1728,103.9953,-62.932,77.7146,-142.4938,86.0769
259,129.5,-190.0731,102.3405,-63.6078,77.1625,-143.2395,84.8301
260,130.0,-190.959,100.6779,-64.2788,76.6044,-143.9743,83.5769
261,130.5,-191.8303,99.0077,-64.9448,76.0406,-144.6982,82.3173
262,131.0,-192.687,97.3299,-65.6059,75.471,-145.411,81.0515
263,131.5,-193.529,95.6447,-66.262,74.8956,-146.1128,79.7795
264,132.0,-194.3562,93.9522,-66.9131,74.3145,-146.8034,78.5014
265,132.5,-195.1687,92.2526,-67.559,73.7277,-147.4829,77.2173
266,133.0,-195.9663,90.5459,-68.1998,73.1354,-148.1511,75.9273
267,133.5,-196.749,88.8324,-68.8355,72.5374,-148.808,74.6316
268,134.0,-197.5167,87.112,-69.4658,71.934,-149.4537,73.3302
269,134.5,-198.2694,85.3851,-70.0909,71.325,-150.0879,72.0232
270,135.0,-199.007,83.6516,-70.7107,70.7107,-150.7107,70.7107
271,135.5,-199.7294,81.9118,-71.325,70.0909,-151.322,69.3928
272,136.0,-200.4366,80.1657,-71.934,69.4658,-151.9218,68.0696
273,136.5,-201.1285,78.4136,-72.5374,68.8355,-152.51,66.7413
274,137.0,-201.8051,76.6554,-73.1354,68.1998,-153.0866,65.4079
275,137.5,-202.4664,74.8915,-73.7277,67.559,-153.6516,64.0695
276,138.0,-203.1122,73.1218,-74.3145,66.9131,-154.2048,62.7262
277,138.5,-203.7426,71.3465,-74.8956,66.262,-154.7464,61.3781
278,139.0,-204.3574,69.5658,-75.471,65.6059,-155.2761,60.0254
279,139.5,-204.9567,67.7799,-76.0406,64.9448,-155.794,58.6681
280,140.0,-205.5404,65.9887,-76.6044,64.2788,-156.3,57.3063
281,140.5,-206.1084,64.1925,-77.1625,63.6078,-156.7942,55.9402
282,141.0,-206.6608,62.3915,-77.7146,62.932,-157.2763,54.5698
283,141.5,-207.1974,60.5857,-78.2608,62.2515,-157.7466,53.1952
284,142.0,-207.7182,58.7753,-78.8011,61.5661,-158.2048,51.8166
285,142.5,-208.2232,56.9604,-79.3353,60.8761,-158.6509,50.434
286,143.0,-208.7123,55.1411,-79.8636,60.1815,-159.085,49.0477
287,143.5,-209.1855,53.3177,-80.3857,59.4823,-159.507,47.6575
288,144.0,-209.6429,51.4902,-80.9017,58.7785,-159.9168,46.2638
289,144.5,-210.0842,49.6588,-81.4116,58.0703,-160.3144,44.8665
290,145.0,-210.5096,47.8236,-81.9152,57.3576,-160.6998,43.4658
291,145.5,-210.9189,45.9847,-82.4126,56.6406,-161.073,42.0618
292,146.0,-211.3121,44.1424,-82.9038,55.9193,-161.4339,40.6546
293,146.5,-211.6893,42.2967,-83.3886,55.1937,-161.7826,39.2443
294,147.0,-212.0503,40.4478,-83.8671,54.4639,-162.1189,37.831
295,147.5,-212.3952,38.5958,-84.3391,53.73,-162.4428,36.4148
296,148.0,-212.724,36.7408,-84.8048,52.9919,-162.7544,34.9958
297,148.5,-213.0365,34.8831,-85.264,52.2499,-163.0536,33.5742
298,149.0,-213.3328,33.0227,-85.7167,51.5038,-163.3404,32.1501
299,149.5,-213.6128,31.1598,-86.1629,50.7538,-163.6147,30.7234
300,150.0,-213.8766,29.2945,-86.6025,50.0,-163.8766,29.2945
301,150.5,-214.1241,27.427,-87.0356,49.2424,-164.126,27.8633
