# ========================================================
# 4-BAR ANALYTICAL KINEMATIC ENGINE DATASET EXPORT
# ========================================================
# Ground Pivot O_A (X, Y): (0.0, 0.0) mm
# Ground Pivot O_B (X, Y): (140.0, 0.0) mm
# Ground Distance (d): 140.0 mm
# Link 1 (Crank L1): 50.0 mm @ Omega1 = 10.0 rad/s
# Link 2 (Coupler L2): 120.0 mm
# Link 3 (Rocker L3): 100.0 mm
# Coupler Offset Point P (LP): 80.0 mm @ 30.0 deg ref AB
# Total Trajectory Steps: 720
# ========================================================
step,crank_angle_deg,coupler_p_x,coupler_p_y,v_mag,vx_P,vy_P,a_mag,a_tangential,a_normal
0,0.0,57.4723,79.6503,637.1957,442.5015,458.4875,7068.9066,-6307.7239,3190.9341
1,0.5,57.857,80.0494,633.2152,439.1373,456.2016,6981.8862,-6268.5543,3074.4045
2,1.0,58.2387,80.4465,629.1203,435.6511,453.8728,6896.3323,-6229.4273,2958.6542
3,1.5,58.6173,80.8415,624.9135,432.0436,451.5033,6812.3701,-6190.4198,2843.7807
4,2.0,58.9927,81.2345,620.597,428.3157,449.095,6730.1214,-6151.6082,2729.881
5,2.5,59.3648,81.6253,616.1737,424.4687,446.6501,6649.7034,-6113.068,2617.0508
6,3.0,59.7335,82.014,611.6461,420.5035,444.1708,6571.2287,-6074.8738,2505.3852
7,3.5,60.0987,82.4005,607.017,416.4215,441.6591,6494.8046,-6037.0992,2394.9781
8,4.0,60.4602,82.7849,602.2894,412.2242,439.1171,6420.5324,-5999.8163,2285.9221
9,4.5,60.8181,83.1669,597.4663,407.9129,436.5467,6348.5073,-5963.0961,2178.309
10,5.0,61.1722,83.5468,592.5506,403.4893,433.95,6278.8177,-5927.0076,2072.2291
11,5.5,61.5223,83.9243,587.5456,398.9551,431.3289,6211.5448,-5891.6181,1967.7713
12,6.0,61.8684,84.2996,582.4546,394.3122,428.6855,6146.7619,-5856.9932,1865.0235
13,6.5,62.2105,84.6725,577.2807,389.5623,426.0214,6084.5346,-5823.196,1764.0719
14,7.0,62.5483,85.0431,572.0276,384.7076,423.3387,6024.92,-5790.2876,1665.0015
15,7.5,62.8819,85.4114,566.6985,379.75,420.639,5967.9665,-5758.3268,1567.8957
16,8.0,63.2111,85.7773,561.2971,374.6917,417.9241,5913.7138,-5727.3696,1472.8367
17,8.5,63.5358,86.1408,555.827,369.535,415.1958,5862.1923,-5697.4696,1379.9052
18,9.0,63.856,86.5019,550.2918,364.2821,412.4556,5813.4234,-5668.6775,1289.1805
19,9.5,64.1716,86.8607,544.6953,358.9355,409.7051,5767.4191,-5641.0412,1200.7403
20,10.0,64.4824,87.217,539.0412,353.4975,406.9459,5724.1826,-5614.6056,1114.6614
21,10.5,64.7885,87.5709,533.3335,347.9707,404.1794,5683.7075,-5589.4124,1031.0189
22,11.0,65.0897,87.9224,527.5759,342.3576,401.407,5645.9789,-5565.5002,949.8866
23,11.5,65.386,88.2715,521.7724,336.6607,398.6301,5610.973,-5542.9044,871.3374
24,12.0,65.6773,88.6182,515.927,330.8829,395.8499,5578.6577,-5521.6567,795.4426
25,12.5,65.9635,88.9624,510.0436,325.0266,393.0677,5548.993,-5501.7856,722.2727
26,13.0,66.2446,89.3042,504.1265,319.0947,390.2846,5521.9313,-5483.3161,651.897
27,13.5,66.5204,89.6436,498.1795,313.0899,387.5017,5497.4179,-5466.2692,584.3838
28,14.0,66.791,89.9805,492.2068,307.0149,384.7199,5475.3916,-5450.6625,519.8004
29,14.5,67.0562,90.315,486.2127,300.8726,381.9404,5455.7855,-5436.5095,458.2135
30,15.0,67.3161,90.6471,480.2012,294.6658,379.1639,5438.5269,-5423.82,399.6887
31,15.5,67.5705,90.9768,474.1765,288.3972,376.3913,5423.5387,-5412.5997,344.2912
32,16.0,67.8194,91.304,468.1429,282.0698,373.6233,5410.7397,-5402.8502,292.0852
33,16.5,68.0628,91.6289,462.1046,275.6864,370.8607,5400.0452,-5394.569,243.1347
34,17.0,68.3006,91.9513,456.0659,269.2498,368.1041,5391.3678,-5387.749,197.5029
35,17.5,68.5327,92.2713,450.031,262.7628,365.3541,5384.6177,-5382.379,155.2526
36,18.0,68.7592,92.589,444.0042,256.2283,362.6111,5379.7037,-5378.4433,116.4463
37,18.5,68.9799,92.9042,437.9899,249.6491,359.8757,5376.5336,-5375.9212,81.1459
38,19.0,69.1949,93.2171,431.9924,243.0279,357.1482,5375.0146,-5374.7875,49.4132
39,19.5,69.404,93.5276,426.0159,236.3677,354.429,5375.0543,-5375.0121,21.3093
40,20.0,69.6074,93.8357,420.065,229.6711,351.7183,5376.5604,-5376.5596,3.1048
41,20.5,69.8049,94.1414,414.1439,222.9409,349.0165,5379.442,-5379.3895,23.7687
42,21.0,69.9965,94.4448,408.2569,216.1797,346.3236,5383.6093,-5383.456,40.6225
43,21.5,70.1822,94.7459,402.4086,209.3904,343.6399,5388.9743,-5388.7076,53.6069
44,22.0,70.3619,95.0446,396.6033,202.5754,340.9653,5395.451,-5395.0871,62.6633
45,22.5,70.5357,95.341,390.8454,195.7375,338.3001,5402.9558,-5402.5312,67.7339
46,23.0,70.7036,95.6351,385.1393,188.8793,335.644,5411.4076,-5410.9707,68.7622
47,23.5,70.8654,95.9268,379.4894,182.0031,332.9971,5420.7281,-5420.33,65.693
48,24.0,71.0212,96.2162,373.9003,175.1117,330.3594,5430.8416,-5430.5268,58.4727
49,24.5,71.171,96.5034,368.3762,168.2074,327.7306,5441.6756,-5441.4722,47.0498
50,25.0,71.3148,96.7882,362.9217,161.2925,325.1106,5453.1608,-5453.0705,31.3751
51,25.5,71.4525,97.0708,357.5412,154.3696,322.4992,5465.2307,-5465.2188,11.4026
52,26.0,71.5842,97.3511,352.2391,147.4409,319.8962,5477.8223,-5477.8071,12.9104
53,26.5,71.7098,97.6291,347.0199,140.5087,317.3013,5490.8756,-5490.718,41.6027
54,27.0,71.8294,97.9049,341.8879,133.5753,314.7142,5504.3338,-5503.8267,74.7081
55,27.5,71.943,98.1784,336.8477,126.6427,312.1346,5518.1431,-5517.0012,112.255
56,28.0,72.0505,98.4497,331.9036,119.7131,309.5622,5532.253,-5530.1017,154.2656
57,28.5,72.1519,98.7187,327.0599,112.7886,306.9966,5546.6159,-5542.9816,200.7547
58,29.0,72.2473,98.9855,322.321,105.8712,304.4373,5561.1871,-5555.4868,251.7291
59,29.5,72.3367,99.2501,317.6912,98.9629,301.8841,5575.9248,-5567.4567,307.1864
60,30.0,72.4201,99.5124,313.1747,92.0656,299.3365,5590.79,-5578.7239,367.114
61,30.5,72.4974,99.7725,308.7758,85.1812,296.794,5605.7464,-5589.1154,431.4883
62,31.0,72.5687,100.0304,304.4985,78.3115,294.2561,5620.7601,-5598.4526,500.2728
63,31.5,72.6341,100.2861,300.3469,71.4582,291.7225,5635.7998,-5606.5525,573.4178
64,32.0,72.6935,100.5395,296.325,64.623,289.1926,5650.8364,-5613.2285,650.8592
65,32.5,72.7469,100.7908,292.4365,57.8077,286.666,5665.8433,-5618.2915,732.5169
66,33.0,72.7943,101.0399,288.6852,51.0137,284.1421,5680.7959,-5621.551,818.2944
67,33.5,72.8359,101.2867,285.0745,44.2428,281.6204,5695.6714,-5622.8167,908.0776
68,34.0,72.8716,101.5314,281.608,37.4963,279.1005,5710.4493,-5621.9,1001.7343
69,34.5,72.9014,101.7739,278.2888,30.7758,276.5819,5725.1107,-5618.6157,1099.1134
70,35.0,72.9253,102.0141,275.12,24.0826,274.0639,5739.6383,-5612.7837,1200.0446
71,35.5,72.9434,102.2522,272.1042,17.4181,271.5461,5754.0168,-5604.2315,1304.3384
72,36.0,72.9557,102.4881,269.2441,10.7836,269.0281,5768.232,-5592.7954,1411.786
73,36.5,72.9622,102.7217,266.5419,4.1804,266.5092,5782.2713,-5578.3233,1522.1599
74,37.0,72.963,102.9532,263.9997,-2.3903,263.9889,5796.1234,-5560.6762,1635.2146
75,37.5,72.9581,103.1825,261.6192,-8.9274,261.4668,5809.7784,-5539.7309,1750.6875
76,38.0,72.9474,103.4096,259.4017,-15.4297,258.9424,5823.2272,-5515.381,1868.3007
77,38.5,72.9312,103.6344,257.3483,-21.8961,256.4151,5836.4622,-5487.5397,1987.7622
78,39.0,72.9092,103.8571,255.4597,-28.3257,253.8845,5849.4765,-5456.1407,2108.7682
79,39.5,72.8817,104.0775,253.7363,-34.7173,251.35,5862.2643,-5421.1398,2231.0057
80,40.0,72.8487,104.2958,252.178,-41.0701,248.8112,5874.8206,-5382.5157,2354.1543
81,40.5,72.8101,104.5118,250.7845,-47.3831,246.2676,5887.1413,-5340.271,2477.8899
82,41.0,72.766,104.7256,249.5551,-53.6554,243.7187,5899.2229,-5294.4326,2601.8868
83,41.5,72.7164,104.9372,248.4885,-59.8863,241.1642,5911.0628,-5245.0513,2725.8211
84,42.0,72.6615,105.1465,247.5833,-66.0749,238.6034,5922.6588,-5192.2015,2849.3737
85,42.5,72.6011,105.3536,246.8377,-72.2205,236.0361,5934.0094,-5135.9807,2972.2332
86,43.0,72.5354,105.5585,246.2494,-78.3223,233.4618,5945.1137,-5076.5079,3094.0984
87,43.5,72.4644,105.7611,245.816,-84.3796,230.88,5955.9713,-5013.9223,3214.6815
88,44.0,72.3882,105.9614,245.5345,-90.3918,228.2904,5966.5821,-4948.3814,3333.7101
89,44.5,72.3067,106.1595,245.4018,-96.3582,225.6926,5976.9466,-4880.0592,3450.9292
90,45.0,72.22,106.3553,245.4145,-102.2783,223.0861,5987.0656,-4809.1435,3566.1034
91,45.5,72.1282,106.5489,245.5689,-108.1514,220.4707,5996.9403,-4735.8337,3679.0178
92,46.0,72.0313,106.7401,245.861,-113.9771,217.846,6006.5721,-4660.3385,3789.4794
93,46.5,71.9293,106.9291,246.2869,-119.7549,215.2115,6015.963,-4582.8732,3897.3175
94,47.0,71.8223,107.1157,246.8422,-125.4842,212.5671,6025.1148,-4503.6572,4002.3843
95,47.5,71.7103,107.3001,247.5224,-131.1646,209.9124,6034.0299,-4422.9119,4104.5545
96,48.0,71.5933,107.4821,248.3231,-136.7956,207.247,6042.7109,-4340.8582,4203.7252
97,48.5,71.4715,107.6618,249.2396,-142.377,204.5707,6051.1604,-4257.7145,4299.8151
98,49.0,71.3449,107.8391,250.2673,-147.9082,201.8833,6059.3814,-4173.6951,4392.7636
99,49.5,71.2134,108.0141,251.4013,-153.389,199.1844,6067.3769,-4089.0081,4482.5301
100,50.0,71.0772,108.1868,252.6369,-158.819,196.4738,6075.1502,-4003.8542,4569.0919
101,50.5,70.9362,108.357,253.9694,-164.1978,193.7512,6082.7045,-3918.4257,4652.4439
102,51.0,70.7906,108.5249,255.3941,-169.5253,191.0165,6090.0433,-3832.905,4732.5962
103,51.5,70.6404,108.6904,256.9063,-174.8011,188.2695,6097.1702,-3747.4646,4809.5731
104,52.0,70.4855,108.8535,258.5013,-180.025,185.5099,6104.0889,-3662.2659,4883.4116
105,52.5,70.3262,109.0142,260.1746,-185.1967,182.7375,6110.803,-3577.4592,4954.1597
106,53.0,70.1623,109.1724,261.9218,-190.3161,179.9522,6117.3164,-3493.1836,5021.875
107,53.5,69.994,109.3283,263.7385,-195.3829,177.1539,6123.6329,-3409.5665,5086.6233
108,54.0,69.8213,109.4816,265.6204,-200.397,174.3423,6129.7565,-3326.7243,5148.4774
109,54.5,69.6443,109.6325,267.5635,-205.3582,171.5174,6135.6911,-3244.7626,5207.5159
110,55.0,69.4629,109.781,269.5636,-210.2663,168.6791,6141.4408,-3163.7759,5263.8216
111,55.5,69.2773,109.9269,271.617,-215.1212,165.8272,6147.0096,-3083.8487,5317.481
112,56.0,69.0875,110.0704,273.7198,-219.9228,162.9616,6152.4015,-3005.0556,5368.5831
113,56.5,68.8935,110.2114,275.8685,-224.671,160.0823,6157.6206,-2927.4621,5417.2186
114,57.0,68.6954,110.3498,278.0595,-229.3657,157.1892,6162.6711,-2851.1247,5463.479
115,57.5,68.4932,110.4857,280.2895,-234.0068,154.2822,6167.557,-2776.0918,5507.4562
116,58.0,68.287,110.6191,282.5553,-238.5943,151.3613,6172.2825,-2702.4043,5549.2416
117,58.5,68.0768,110.7499,284.8538,-243.128,148.4265,6176.8518,-2630.0957,5588.926
118,59.0,67.8626,110.8781,287.182,-247.608,145.4778,6181.2688,-2559.1934,5626.5987
119,59.5,67.6446,111.0038,289.5371,-252.0342,142.515,6185.5378,-2489.7184,5662.3476
120,60.0,67.4228,111.1268,291.9165,-256.4065,139.5383,6189.6629,-2421.6865,5696.2586
121,60.5,67.1971,111.2473,294.3175,-260.725,136.5477,6193.6483,-2355.1085,5728.4154
122,61.0,66.9677,111.3652,296.7377,-264.9897,133.5431,6197.4979,-2289.9905,5758.8995
123,61.5,66.7347,111.4804,299.1748,-269.2005,130.5247,6201.2159,-2226.3348,5787.7899
124,62.0,66.4979,111.593,301.6266,-273.3574,127.4924,6204.8064,-2164.14,5815.1629
125,62.5,66.2576,111.7029,304.0909,-277.4606,124.4463,6208.2734,-2103.4013,5841.0925
126,63.0,66.0137,111.8102,306.5657,-281.5099,121.3864,6211.621,-2044.1112,5865.6495
127,63.5,65.7663,111.9147,309.0491,-285.5055,118.313,6214.8532,-1986.2595,5888.9025
128,64.0,65.5154,112.0166,311.5394,-289.4474,115.2259,6217.974,-1929.8339,5910.9171
129,64.5,65.2611,112.1158,314.0348,-293.3356,112.1254,6220.9874,-1874.8201,5931.7563
130,65.0,65.0034,112.2123,316.5337,-297.1702,109.0115,6223.8973,-1821.2021,5951.4805
131,65.5,64.7425,112.3061,319.0346,-300.9512,105.8843,6226.7077,-1768.9623,5970.1475
132,66.0,64.4782,112.3971,321.5361,-304.6787,102.744,6229.4225,-1718.0821,5987.8125
133,66.5,64.2107,112.4854,324.0366,-308.3528,99.5907,6232.0456,-1668.5416,6004.5284
134,67.0,63.94,112.571,326.5351,-311.9735,96.4246,6234.5808,-1620.3203,6020.3455
135,67.5,63.6662,112.6537,329.0302,-315.541,93.2456,6237.032,-1573.3969,6035.3119
136,68.0,63.3893,112.7337,331.5207,-319.0552,90.0542,6239.4029,-1527.7492,6049.4736
137,68.5,63.1094,112.8109,334.0057,-322.5164,86.8503,6241.6974,-1483.3551,6062.8742
138,69.0,62.8264,112.8853,336.4841,-325.9246,83.6341,6243.9191,-1440.1917,6075.5555
139,69.5,62.5405,112.9568,338.9548,-329.2799,80.4059,6246.0719,-1398.2361,6087.557
140,70.0,62.2518,113.0256,341.4171,-332.5824,77.1658,6248.1594,-1357.4654,6098.9166
141,70.5,61.9601,113.0915,343.87,-335.8322,73.914,6250.1852,-1317.8562,6109.6702
142,71.0,61.6656,113.1546,346.3128,-339.0295,70.6507,6252.1529,-1279.3856,6119.852
143,71.5,61.3684,113.2148,348.7446,-342.1743,67.3761,6254.0663,-1242.0303,6129.4947
144,72.0,61.0684,113.2722,351.1648,-345.2668,64.0905,6255.9287,-1205.7676,6138.6292
145,72.5,60.7658,113.3267,353.5728,-348.307,60.794,6257.7438,-1170.5746,6147.285
146,73.0,60.4605,113.3783,355.9678,-351.2952,57.4868,6259.515,-1136.4288,6155.4901
147,73.5,60.1527,113.427,358.3493,-354.2314,54.1692,6261.2459,-1103.3079,6163.2712
148,74.0,59.8423,113.4728,360.7167,-357.1158,50.8415,6262.9398,-1071.1897,6170.6537
149,74.5,59.5294,113.5157,363.0696,-359.9485,47.5038,6264.6001,-1040.0527,6177.6617
150,75.0,59.2141,113.5557,365.4074,-362.7297,44.1564,6266.2302,-1009.8754,6184.3183
151,75.5,58.8964,113.5928,367.7298,-365.4594,40.7996,6267.8335,-980.6366,6190.6452
152,76.0,58.5763,113.627,370.0362,-368.1379,37.4336,6269.4132,-952.3157,6196.6633
153,76.5,58.2539,113.6581,372.3263,-370.7652,34.0587,6270.9726,-924.8924,6202.3924
154,77.0,57.9292,113.6864,374.5997,-373.3416,30.6752,6272.5149,-898.3465,6207.8512
155,77.5,57.6023,113.7117,376.8561,-375.8672,27.2833,6274.0433,-872.6585,6213.0578
156,78.0,57.2732,113.734,379.0951,-378.3421,23.8832,6275.561,-847.8092,6218.0291
157,78.5,56.9419,113.7534,381.3166,-380.7664,20.4754,6277.0712,-823.7797,6222.7815
158,79.0,56.6086,113.7697,383.5201,-383.1405,17.06,6278.5768,-800.5514,6227.3304
159,79.5,56.2733,113.7831,385.7055,-385.4643,13.6374,6280.081,-778.1065,6231.6906
160,80.0,55.9359,113.7935,387.8725,-387.7381,10.2078,6281.5867,-756.427,6235.876
161,80.5,55.5965,113.801,390.0208,-389.9621,6.7716,6283.097,-735.4958,6239.9001
162,81.0,55.2553,113.8054,392.1504,-392.1363,3.3291,6284.6148,-715.2958,6243.7757
163,81.5,54.9121,113.8068,394.261,-394.261,-0.1196,6286.143,-695.8105,6247.5148
164,82.0,54.5672,113.8051,396.3524,-396.3363,-3.5739,6287.6845,-677.0237,6251.1291
165,82.5,54.2204,113.8005,398.4246,-398.3625,-7.0337,6289.2422,-658.9195,6254.6296
166,83.0,53.8719,113.7929,400.4772,-400.3396,-10.4985,6290.8187,-641.4824,6258.0269
167,83.5,53.5217,113.7822,402.5103,-402.2679,-13.9682,6292.417,-624.6974,6261.3309
168,84.0,53.1698,113.7685,404.5237,-404.1475,-17.4423,6294.0397,-608.5495,6264.5513
169,84.5,52.8164,113.7518,406.5173,-405.9787,-20.9206,6295.6895,-593.0244,6267.6972
170,85.0,52.4613,113.732,408.4911,-407.7615,-24.4027,6297.3691,-578.1079,6270.7774
171,85.5,52.1047,113.7092,410.4448,-409.4962,-27.8883,6299.0811,-563.7862,6273.8001
172,86.0,51.7466,113.6833,412.3785,-411.183,-31.377,6300.8281,-550.0459,6276.7734
173,86.5,51.3871,113.6544,414.292,-412.8221,-34.8685,6302.6125,-536.8737,6279.7047
174,87.0,51.0261,113.6224,416.1854,-414.4136,-38.3625,6304.437,-524.2567,6282.6014
175,87.5,50.6638,113.5874,418.0585,-415.9577,-41.8586,6306.304,-512.1824,6285.4705
176,88.0,50.3001,113.5494,419.9114,-417.4546,-45.3565,6308.2158,-500.6385,6288.3184
177,88.5,49.9352,113.5083,421.7439,-418.9046,-48.8559,6310.175,-489.613,6291.1515
178,89.0,49.569,113.4641,423.5561,-420.3078,-52.3564,6312.1838,-479.094,6293.9759
179,89.5,49.2016,113.4169,425.348,-421.6643,-55.8576,6314.2445,-469.0702,6296.7973
180,90.0,48.8331,113.3666,427.1194,-422.9745,-59.3592,6316.3594,-459.5304,6299.6213
181,90.5,48.4634,113.3133,428.8704,-424.2386,-62.8608,6318.5308,-450.4634,6302.453
182,91.0,48.0927,113.2569,430.601,-425.4566,-66.3622,6320.7607,-441.8587,6305.2976
183,91.5,47.7209,113.1975,432.3112,-426.6288,-69.8628,6323.0515,-433.7057,6308.1597
184,92.0,47.3481,113.135,434.0009,-427.7555,-73.3625,6325.4051,-425.9943,6311.0441
185,92.5,46.9743,113.0694,435.6702,-428.8368,-76.8607,6327.8236,-418.7142,6313.9551
186,93.0,46.5996,113.0008,437.3191,-429.8729,-80.3572,6330.309,-411.8559,6316.8969
187,93.5,46.2241,112.9292,438.9476,-430.8641,-83.8516,6332.8633,-405.4096,6319.8735
188,94.0,45.8476,112.8545,440.5556,-431.8106,-87.3435,6335.4885,-399.3659,6322.8887
189,94.5,45.4704,112.7767,442.1433,-432.7125,-90.8326,6338.1865,-393.7158,6325.9462
190,95.0,45.0924,112.696,443.7106,-433.5702,-94.3184,6340.9589,-388.4502,6329.0494
191,95.5,44.7137,112.6121,445.2575,-434.3838,-97.8007,6343.8078,-383.5603,6332.2018
192,96.0,44.3343,112.5253,446.7841,-435.1535,-101.2791,6346.7348,-379.0375,6335.4063
193,96.5,43.9542,112.4354,448.2903,-435.8795,-104.7531,6349.7416,-374.8733,6338.6662
194,97.0,43.5736,112.3424,449.7762,-436.5622,-108.2225,6352.8299,-371.0596,6341.9842
195,97.5,43.1923,112.2465,451.2419,-437.2017,-111.6868,6356.0014,-367.5882,6345.3631
196,98.0,42.8105,112.1475,452.6873,-437.7982,-115.1457,6359.2575,-364.4512,6348.8055
197,98.5,42.4282,112.0455,454.1125,-438.352,-118.5988,6362.5998,-361.6409,6352.3139
198,99.0,42.0455,111.9405,455.5174,-438.8633,-122.0458,6366.0298,-359.1496,6355.8907
199,99.5,41.6623,111.8325,456.9022,-439.3323,-125.4862,6369.5489,-356.9699,6359.5381
200,100.0,41.2787,111.7215,458.2669,-439.7593,-128.9197,6373.1584,-355.0945,6363.2583
201,100.5,40.8948,111.6075,459.6114,-440.1445,-132.3459,6376.8597,-353.5162,6367.0532
202,101.0,40.5105,111.4905,460.9358,-440.4882,-135.7645,6380.6542,-352.228,6370.9248
203,101.5,40.126,111.3705,462.2402,-440.7905,-139.1751,6384.5429,-351.223,6374.8749
204,102.0,39.7412,111.2476,463.5245,-441.0518,-142.5772,6388.527,-350.4945,6378.9051
205,102.5,39.3562,111.1217,464.7889,-441.2723,-145.9706,6392.6077,-350.0358,6383.0172
206,103.0,38.971,110.9928,466.0332,-441.4522,-149.3549,6396.7861,-349.8404,6387.2125
207,103.5,38.5857,110.861,467.2576,-441.5918,-152.7296,6401.0631,-349.9019,6391.4925
208,104.0,38.2003,110.7263,468.4621,-441.6914,-156.0944,6405.4396,-350.2142,6395.8586
209,104.5,37.8148,110.5886,469.6467,-441.7511,-159.449,6409.9167,-350.7709,6400.3119
210,105.0,37.4293,110.448,470.8114,-441.7713,-162.7929,6414.4951,-351.5661,6404.8535
211,105.5,37.0438,110.3045,471.9563,-441.7522,-166.1258,6419.1756,-352.5939,6409.4846
212,106.0,36.6583,110.1581,473.0814,-441.694,-169.4474,6423.9589,-353.8484,6414.2061
213,106.5,36.2729,110.0087,474.1867,-441.5971,-172.7572,6428.8457,-355.3238,6419.0188
214,107.0,35.8876,109.8565,475.2722,-441.4616,-176.0548,6433.8366,-357.0146,6423.9236
215,107.5,35.5024,109.7015,476.338,-441.288,-179.34,6438.9322,-358.9152,6428.9212
216,108.0,35.1174,109.5435,477.3841,-441.0763,-182.6123,6444.1328,-361.0202,6434.0121
217,108.5,34.7326,109.3828,478.4105,-440.827,-185.8714,6449.4389,-363.3242,6439.197
218,109.0,34.3481,109.2191,479.4172,-440.5402,-189.1169,6454.851,-365.822,6444.4763
219,109.5,33.9638,109.0527,480.4043,-440.2163,-192.3484,6460.3691,-368.5084,6449.8505
220,110.0,33.5797,108.8834,481.3717,-439.8554,-195.5656,6465.9937,-371.3784,6455.3197
221,110.5,33.1961,108.7114,482.3196,-439.458,-198.7681,6471.7247,-374.4268,6460.8843
222,111.0,32.8128,108.5365,483.2478,-439.0243,-201.9556,6477.5624,-377.6488,6466.5444
223,111.5,32.4298,108.3589,484.1565,-438.5546,-205.1276,6483.5067,-381.0396,6472.3
224,112.0,32.0473,108.1785,485.0456,-438.0491,-208.2839,6489.5575,-384.5944,6478.1513
225,112.5,31.6653,107.9954,485.9151,-437.5082,-211.424,6495.7147,-388.3085,6484.098
226,113.0,31.2838,107.8095,486.7652,-436.9321,-214.5476,6501.9782,-392.1772,6490.14
227,113.5,30.9027,107.6209,487.5957,-436.3211,-217.6543,6508.3476,-396.1961,6496.2772
228,114.0,30.5222,107.4296,488.4067,-435.6756,-220.7439,6514.8226,-400.3606,6502.5091
229,114.5,30.1423,107.2357,489.1982,-434.9957,-223.8159,6521.4027,-404.6664,6508.8354
230,115.0,29.763,107.039,489.9702,-434.2819,-226.8699,6528.0874,-409.109,6515.2556
231,115.5,29.3844,106.8397,490.7227,-433.5345,-229.9057,6534.8762,-413.6843,6521.7691
232,116.0,29.0064,106.6377,491.4558,-432.7536,-232.9229,6541.7684,-418.388,6528.3754
233,116.5,28.6291,106.4332,492.1693,-431.9397,-235.9211,6548.7632,-423.216,6535.0736
234,117.0,28.2525,106.226,492.8635,-431.093,-238.9,6555.8598,-428.1641,6541.8631
235,117.5,27.8767,106.0162,493.5381,-430.2139,-241.8592,6563.0572,-433.2284,6548.7429
236,118.0,27.5017,105.8039,494.1933,-429.3026,-244.7985,6570.3546,-438.4049,6555.712
237,118.5,27.1274,105.589,494.829,-428.3595,-247.7174,6577.7507,-443.6897,6562.7695
238,119.0,26.7541,105.3715,495.4453,-427.3849,-250.6156,6585.2443,-449.0789,6569.9141
