# ========================================================
# 4-BAR PLANAR KINEMATIC ENGINE DATASET EXPORT
# ========================================================
# Ground Pivot O_A (X, Y): (0.0, 0.0) mm
# Ground Pivot O_B (X, Y): (140.0, 0.0) mm
# Ground Distance (d): 140.0 mm
# Link 1 (Crank Length L1): 50.0 mm
# Link 2 (Coupler Length L2): 120.0 mm
# Link 3 (Rocker Length L3): 100.0 mm
# Coupler Point Offset (LP): 80.0 mm
# Coupler Point Offset Angle (alpha): 30.0 deg (ref to segment AB)
# Resolution Steps: 720 (Step size: 0.50 deg)
# ========================================================
step,crank_angle_deg,coupler_angle_deg,rocker_angle_deg,pivot_a_x,pivot_a_y,pivot_b_x,pivot_b_y,coupler_p_x,coupler_p_y
0,0.0,54.6406,101.862,50.0,0.0,119.4444,97.8645,57.4723,79.6503
1,0.5,54.3624,101.5856,49.9981,0.4363,119.9168,97.9626,57.857,80.0494
2,1.0,54.0835,101.3119,49.9924,0.8726,120.385,98.0574,58.2387,80.4465
3,1.5,53.804,101.041,49.9829,1.3088,120.8488,98.149,58.6173,80.8415
4,2.0,53.5239,100.773,49.9695,1.745,121.3081,98.2375,58.9927,81.2345
5,2.5,53.2432,100.508,49.9524,2.181,121.7627,98.3229,59.3648,81.6253
6,3.0,52.9621,100.246,49.9315,2.6168,122.2126,98.4053,59.7335,82.014
7,3.5,52.6807,99.987,49.9067,3.0524,122.6575,98.4847,60.0987,82.4005
8,4.0,52.3989,99.7312,49.8782,3.4878,123.0975,98.5612,60.4602,82.7849
9,4.5,52.1169,99.4785,49.8459,3.923,123.5322,98.6347,60.8181,83.1669
10,5.0,51.8347,99.2291,49.8097,4.3578,123.9617,98.7055,61.1722,83.5468
11,5.5,51.5523,98.9831,49.7698,4.7923,124.3858,98.7735,61.5223,83.9243
12,6.0,51.27,98.7403,49.7261,5.2264,124.8043,98.8387,61.8684,84.2996
13,6.5,50.9876,98.5011,49.6786,5.6602,125.2172,98.9013,62.2105,84.6725
14,7.0,50.7053,98.2652,49.6273,6.0935,125.6244,98.9613,62.5483,85.0431
15,7.5,50.4231,98.0329,49.5722,6.5263,126.0258,99.0188,62.8819,85.4114
16,8.0,50.1412,97.8042,49.5134,6.9587,126.4212,99.0738,63.2111,85.7773
17,8.5,49.8595,97.5791,49.4508,7.3905,126.8105,99.1264,63.5358,86.1408
18,9.0,49.5781,97.3577,49.3844,7.8217,127.1937,99.1766,63.856,86.5019
