# ========================================================
# 4-BAR PLANAR ANALYTICAL KINEMATIC DATASET EXPORT
# ========================================================
# Ground Pivot O_A (X, Y): (0.0, 0.0) mm
# Ground Pivot O_B (X, Y): (140.0, 0.0) mm
# Ground Distance (d): 140.0 mm
# Link 1 (Crank L1): 50.0 mm
# Link 2 (Coupler L2): 120.0 mm
# Link 3 (Rocker L3): 100.0 mm
# Coupler Point Offset (LP): 80.0 mm
# Coupler Point Angle (alpha): 30.0 deg
# Crank Velocity (omega1): 10.0 rad/s
# ========================================================
crank_angle_deg,coupler_p_x,coupler_p_y,vel_x,vel_y,vel_mag,acc_x,acc_y,acc_mag,acc_tangential,acc_normal
0.0,57.4723,79.6503,442.5015,458.4875,637.1957,-3784.8388,-2593.9756,4588.4327,-4494.8549,921.9509
0.5,57.857,80.0494,439.1373,456.2016,633.2152,-3925.1516,-2644.3994,4732.8282,-4627.2733,993.9845
1.0,58.2387,80.4465,435.6511,453.8728,629.1203,-4064.5924,-2692.3789,4875.4298,-4757.0257,1067.9521
1.5,58.6173,80.8415,432.0436,451.5033,624.9135,-4203.0241,-2737.9199,5016.1356,-4883.9871,1143.8038
2.0,58.9927,81.2345,428.3157,449.095,620.597,-4340.3113,-2781.0332,5154.847,-5008.035,1221.4878
2.5,59.3648,81.6253,424.4687,446.6501,616.1737,-4476.321,-2821.7341,5291.4679,-5129.0506,1300.9509
3.0,59.7335,82.014,420.5035,444.1708,611.6461,-4610.9228,-2860.0428,5425.9058,-5246.9179,1382.1382
3.5,60.0987,82.4005,416.4215,441.6591,607.017,-4743.9891,-2895.984,5558.0712,-5361.5249,1464.9934
4.0,60.4602,82.7849,412.2242,439.1171,602.2894,-4875.3953,-2929.5867,5687.8781,-5472.7629,1549.459
4.5,60.8181,83.1669,407.9129,436.5467,597.4663,-5005.0204,-2960.8844,5815.2443,-5580.527,1635.4768
5.0,61.1722,83.5468,403.4893,433.95,592.5506,-5132.7471,-2989.9145,5940.0911,-5684.7161,1722.9872
5.5,61.5223,83.9243,398.9551,431.3289,587.5456,-5258.462,-3016.7183,6062.3438,-5785.233,1811.9302
6.0,61.8684,84.2996,394.3122,428.6855,582.4546,-5382.0557,-3041.341,6181.9316,-5881.9846,1902.2451
6.5,62.2105,84.6725,389.5623,426.0214,577.2807,-5503.4234,-3063.831,6298.788,-5974.8815,1993.8707
7.0,62.5483,85.0431,384.7076,423.3387,572.0276,-5622.4647,-3084.2405,6412.8503,-6063.8388,2086.7458
