# ========================================================
# 4-BAR PLANAR ANALYTICAL KINEMATIC DATASET EXPORT
# ========================================================
# Ground Pivot O_A (X, Y): (0.0, 0.0) mm
# Ground Pivot O_B (X, Y): (205.0, 0.0) mm
# Ground Distance (d): 205.0 mm
# Link 1 (Crank L1): 85.0 mm
# Link 2 (Coupler L2): 207.80038498520642 mm
# Link 3 (Rocker L3): 119.0 mm
# Coupler Point Offset (LP): 164.45364088398895 mm
# Coupler Point Angle (alpha): 28.916346831104075 deg
# Crank Velocity (omega1): 10.0 rad/s
# ========================================================
crank_angle_deg,coupler_p_x,coupler_p_y,vel_x,vel_y,vel_mag,acc_x,acc_y,acc_mag,acc_tangential,acc_normal
0.0,171.2087,140.0466,991.997,239.3551,1020.4651,-22923.9196,-810.2879,22938.2357,-22474.4651,4589.2351
0.5,172.0656,140.2553,971.8712,238.8043,1000.7803,-23196.9023,-453.0398,23201.3259,-22634.9283,5095.2473
1.0,172.9049,140.4635,951.5181,238.5627,980.9683,-23444.7655,-101.6477,23444.9858,-22765.6362,5602.9606
1.5,173.7263,140.6717,930.9597,238.6249,961.0555,-23667.6002,242.8869,23668.8464,-22866.1317,6111.8174
2.0,174.5296,140.8801,910.2176,238.9843,941.0683,-23865.581,579.6147,23872.6184,-22936.0105,6621.2789
2.5,175.3148,141.0889,889.3135,239.634,921.0336,-24038.9632,907.6427,24056.0921,-22974.9186,7130.8261
3.0,176.0817,141.2984,868.2687,240.5657,900.9786,-24188.0784,1226.1383,24219.1361,-22982.5494,7639.9591
3.5,176.8302,141.5089,847.1043,241.771,880.9307,-24313.3312,1534.3319,24361.6964,-22958.6397,8148.1969
4.0,177.5602,141.7205,825.8408,243.2404,860.9175,-24415.1939,1831.5197,24483.7938,-22902.9654,8655.0755
4.5,178.2716,141.9335,804.4984,244.9642,840.9668,-24494.202,2117.0655,24585.5221,-22815.3376,9160.1456
5.0,178.9643,142.1481,783.0968,246.9318,821.1065,-24550.949,2390.4018,24667.0452,-22695.5975,9662.9692
5.5,179.6383,142.3645,761.6552,249.1325,801.3649,-24586.0811,2651.0304,24728.5937,-22543.6118,10163.1155
6.0,180.2936,142.583,740.1921,251.5549,781.7699,-24600.2917,2898.5231,24770.462,-22359.2682,10660.1554
6.5,180.9302,142.8036,718.7255,254.1875,762.35,-24594.3156,3132.5203,24793.0039,-22142.471,11153.6551
7.0,181.548,143.0267,697.2726,257.0182,743.1335,-24568.9237,3352.7309,24796.6291,-21893.1371,11643.1681
7.5,182.1472,143.2522,675.85,260.035,724.1488,-24524.9172,3558.9302,24781.7988,-21611.1931,12128.2266
8.0,182.7276,143.4806,654.4737,263.2256,705.4244,-24463.1222,3750.9586,24749.021,-21296.5732,12608.3309
8.5,183.2895,143.7117,633.1587,266.5775,686.9888,-24384.3843,3928.7187,24698.8467,-20949.2186,13082.938
9.0,183.8327,143.9459,611.9196,270.0783,668.8706,-24289.5632,4092.173,24631.8647,-20569.0786,13551.4489
9.5,184.3575,144.1831,590.7699,273.7156,651.0985,-24179.5279,4241.3413,24548.6975,-20156.1141,14013.1943
10.0,184.8638,144.4236,569.7225,277.4767,633.7011,-24055.1519,4376.2967,24449.996,-19710.3035,14467.42
10.5,185.3519,144.6674,548.7896,281.3495,616.7071,-23917.3085,4497.163,24336.4361,-19231.6523,14913.2716
11.0,185.8217,144.9147,527.9826,285.3217,600.1451,-23766.8667,4604.1107,24208.713,-18720.2057,15349.7781
11.5,186.2734,145.1655,507.312,289.3812,584.0437,-23604.6872,4697.3534,24067.538,-18176.0655,15775.8369
12.0,186.7072,145.4198,486.7878,293.5162,568.4313,-23431.619,4777.1443,23913.6337,-17599.4124,16190.1994
12.5,187.1231,145.6778,466.4191,297.7151,553.3363,-23248.4957,4843.7723,23747.7301,-16990.5319,16591.4589
13.0,187.5213,145.9394,446.2142,301.9665,538.7865,-23056.1331,4897.5581,23570.5611,-16349.8458,16978.0415
13.5,187.9019,146.2048,426.181,306.2593,524.8095,-22855.3261,4938.8508,23382.8608,-15677.9487,17348.2017
14.0,188.2651,146.4739,406.3264,310.5829,511.4322,-22646.8465,4968.024,23185.3601,-14975.6482,17700.0249
14.5,188.6111,146.7469,386.6568,314.9267,498.6806,-22431.4415,4985.4724,22978.7837,-14244.0086,18031.437
15.0,188.94,147.0236,367.1779,319.2809,486.5798,-22209.8311,4991.6085,22763.8475,-13484.3959,18340.2241
15.5,189.252,147.3041,347.8949,323.6356,475.1535,-21982.7078,4986.8592,22541.2557,-12698.5221,18624.0636
16.0,189.5473,147.5884,328.8123,327.9816,464.4237,-21750.7348,4971.6626,22311.6985,-11888.4861,18880.5665
16.5,189.826,147.8766,309.934,332.3099,454.4105,-21514.5453,4946.4653,22075.8505,-11056.8067,19107.3337
17.0,190.0883,148.1684,291.2634,336.612,445.1314,-21274.7422,4911.7197,21834.3684,-10206.4454,19302.0237
17.5,190.3344,148.464,272.8034,340.8798,436.6013,-21031.8976,4867.881,21587.8897,-9340.8126,19462.4305
18.0,190.5645,148.7634,254.5565,345.1055,428.832,-20786.5525,4815.4056,21337.0311,-8463.7566,19586.5699
18.5,190.7787,149.0663,236.5246,349.2819,421.8314,-20539.2173,4754.7482,21082.3879,-7579.5289,19672.7685
